Confirmed Cases,Deceased,Dates
3,0,28-Feb-2020
4,0,29-Feb-2020
5,0,01-Mar-2020
5,0,02-Mar-2020
5,0,03-Mar-2020
5,0,04-Mar-2020
5,0,05-Mar-2020
6,0,06-Mar-2020
6,0,07-Mar-2020
7,0,08-Mar-2020
7,0,09-Mar-2020
7,0,10-Mar-2020
11,0,11-Mar-2020
15,0,12-Mar-2020
26,0,13-Mar-2020
41,0,14-Mar-2020
53,0,15-Mar-2020
82,0,16-Mar-2020
93,0,17-Mar-2020
118,0,18-Mar-2020
164,0,19-Mar-2020
203,0,20-Mar-2020
251,0,21-Mar-2020
316,0,22-Mar-2020
367,4,23-Mar-2020
405,5,24-Mar-2020
475,6,25-Mar-2020
585,8,26-Mar-2020
717,12,27-Mar-2020
848,16,28-Mar-2020
993,20,29-Mar-2020
1094,28,30-Mar-2020
1215,29,31-Mar-2020
1378,37,01-Apr-2020
1510,50,02-Apr-2020
1688,60,03-Apr-2020
1890,79,04-Apr-2020
2143,94,05-Apr-2020
2439,125,06-Apr-2020
2785,141,07-Apr-2020
3181,174,08-Apr-2020
3441,194,09-Apr-2020
3844,233,10-Apr-2020
4219,273,11-Apr-2020
4661,296,12-Apr-2020
5014,332,13-Apr-2020
5399,406,14-Apr-2020
5847,449,15-Apr-2020
6297,486,16-Apr-2020
6875,546,17-Apr-2020
7497,650,18-Apr-2020
8261,686,19-Apr-2020
8772,712,20-Apr-2020
9501,857,21-Apr-2020
10544,970,22-Apr-2020
11633,1069,23-Apr-2020
12872,1221,24-Apr-2020
13842,1305,25-Apr-2020
14677,1351,26-Apr-2020
15529,1434,27-Apr-2020
16752,1569,28-Apr-2020
17799,1732,29-Apr-2020
19224,1859,30-Apr-2020
